Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,7,0.01,0.9099999999999999,0.34960705331360564
100% Corpus,7,0.01,symmetric,0.3755677592131074
100% Corpus,7,0.31,0.01,0.35135680313126644
100% Corpus,7,0.31,0.31,0.3570357615255622
100% Corpus,7,0.31,0.61,0.3866592229881336
100% Corpus,7,0.31,0.9099999999999999,0.36570875796532387
100% Corpus,7,0.31,symmetric,0.3692400289821004
100% Corpus,7,0.61,0.01,0.3616956695475115
100% Corpus,7,0.61,0.31,0.36616523514103644
100% Corpus,7,0.61,0.61,0.3836642203426518
100% Corpus,7,0.61,0.9099999999999999,0.40709102047673046
100% Corpus,7,0.61,symmetric,0.37647851405395266
100% Corpus,7,0.9099999999999999,0.01,0.3614379103605642
100% Corpus,7,0.9099999999999999,0.31,0.35655582598949753
100% Corpus,7,0.9099999999999999,0.61,0.33517397715058495
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.4069080007056499
100% Corpus,7,0.9099999999999999,symmetric,0.3518969439601695
100% Corpus,7,symmetric,0.01,0.34981913814782734
100% Corpus,7,symmetric,0.31,0.38180891908418124
100% Corpus,7,symmetric,0.61,0.3563087629072027
100% Corpus,7,symmetric,0.9099999999999999,0.34966055506747173
100% Corpus,7,symmetric,symmetric,0.37170126224074995
100% Corpus,7,asymmetric,0.01,0.35570365484554534
100% Corpus,7,asymmetric,0.31,0.34957542603836994
100% Corpus,7,asymmetric,0.61,0.3699240316693665
100% Corpus,7,asymmetric,0.9099999999999999,0.38599904483985187
100% Corpus,7,asymmetric,symmetric,0.28873961336310205
100% Corpus,8,0.01,0.01,0.3323960362658993
100% Corpus,8,0.01,0.31,0.3365745133675031
100% Corpus,8,0.01,0.61,0.3504356592551996
100% Corpus,8,0.01,0.9099999999999999,0.3723484649514984
100% Corpus,8,0.01,symmetric,0.32122877551926937
100% Corpus,8,0.31,0.01,0.3706361239541246
100% Corpus,8,0.31,0.31,0.35794360368954825
100% Corpus,8,0.31,0.61,0.3592164527375068
100% Corpus,8,0.31,0.9099999999999999,0.4323608864881545
100% Corpus,8,0.31,symmetric,0.35691260674943515
100% Corpus,8,0.61,0.01,0.3598570898313661
100% Corpus,8,0.61,0.31,0.3532267676581289
100% Corpus,8,0.61,0.61,0.38710823195774496
100% Corpus,8,0.61,0.9099999999999999,0.3487810276123826
100% Corpus,8,0.61,symmetric,0.372604346257724
100% Corpus,8,0.9099999999999999,0.01,0.3619469562503309
100% Corpus,8,0.9099999999999999,0.31,0.3549971096264469
100% Corpus,8,0.9099999999999999,0.61,0.35114236170978286
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3959726394070712
100% Corpus,8,0.9099999999999999,symmetric,0.3612296992028776
100% Corpus,8,symmetric,0.01,0.353312777998997
100% Corpus,8,symmetric,0.31,0.3312476416153395
100% Corpus,8,symmetric,0.61,0.3420449326346001
100% Corpus,8,symmetric,0.9099999999999999,0.35026268924029835
100% Corpus,8,symmetric,symmetric,0.33107132473024836
100% Corpus,8,asymmetric,0.01,0.35103569070342866
100% Corpus,8,asymmetric,0.31,0.39497017978331195
100% Corpus,8,asymmetric,0.61,0.45892540917768854
100% Corpus,8,asymmetric,0.9099999999999999,0.4661787983572808
100% Corpus,8,asymmetric,symmetric,0.36370315414234733
100% Corpus,9,0.01,0.01,0.36455674938692373
100% Corpus,9,0.01,0.31,0.3613987252355182
100% Corpus,9,0.01,0.61,0.3563452451750768
100% Corpus,9,0.01,0.9099999999999999,0.3701007277961256
100% Corpus,9,0.01,symmetric,0.3660593123481621
100% Corpus,9,0.31,0.01,0.3417702786047166
100% Corpus,9,0.31,0.31,0.38055426791022223
